Serial number,Price,Area(house sq.ft),Location
568,17000000,1245,Eastern Express Highway Vikhroli
569,20700000,1257,Magathane
570,18000000,1175,Magathane
571,17500000,1053,Magathane
572,18500000,1052,Rawal Pada
573,3874000,730,Ambernath East
574,8500000,650,Dokali Pada
575,9600000,650,Magathane
576,10800000,650,Magathane
577,18500000,1050,Dattapada
578,21000000,1250,Dattapada
579,15000000,1050,Dattapada
580,21000000,1150,Magathane
581,30000000,1450,Magathane
582,27000000,1550,Magathane
583,22100000,1075,Magathane
584,18500000,1350,Magathane
585,10500000,650,Magathane
586,16500000,1050,Dattapada
587,28500000,1350,Dattapada
588,28000000,1650,Magathane
589,19000000,1050,Dattapada
590,18800000,1350,Rajendra Nagar
591,27000000,1650,Magathane
592,15000000,950,Dattapada
593,24000000,1300,Dattapada
594,11200000,600,Dattapada
595,19000000,1165,Magathane
596,27500000,1357,Magathane
597,23000000,1500,Dattapada
598,10000000,650,Magathane
599,17000000,1050,Magathane
600,15500000,1050,Dattapada
601,14500000,950,Magathane
602,20500000,1150,Magathane
603,22500000,1100,Magathane
604,26500000,1450,Magathane
605,23000000,1100,Dattapada
606,18000000,1350,Rajendra Nagar
607,19000000,1350,Rajendra Nagar
608,29000000,1650,Magathane
609,16500000,1050,Magathane
610,19000000,1150,Rajendra Nagar
611,20500000,1050,Magathane
612,9800000,585,Magathane
613,21000000,1250,Magathane
614,14500000,950,Kulupwadi
615,18000000,1050,Dattapada
616,28200000,1170,Kandivali East
617,26400000,1014,Kandivali East
618,16800000,764,Kandivali East
619,18600000,820,Kandivali East
620,17500000,1050,Magathane
621,26000000,1350,Samata Nagar Thakur Village
622,28000000,1350,Samata Nagar Thakur Village
623,10900000,654,Mira Road and Beyond
624,7400000,400,Mira Road and Beyond
625,7300000,450,Mira Road and Beyond
626,17600000,1100,West Amardeep Colony
627,7500000,385,Pant Nagar
628,36100000,1346,mumbai
629,6000000,810,Mira Road and Beyond
630,4200000,700,Mira Road and Beyond
631,9800000,1417,Mira Road and Beyond
632,3500000,783,Mira Road and Beyond
633,5800000,770,Mira Road and Beyond
634,2700000,400,Mira Road and Beyond
635,4200000,750,Mira Road and Beyond
636,6400000,1180,Mira Road and Beyond
637,3500000,565,Mira Road and Beyond
638,9500000,850,Four Bungalows
639,7000000,450,Four Bungalows
640,17500000,950,Dattapada
641,19500000,1250,Dattapada
642,26000000,1350,no 9
643,19500000,1200,Dattapada
644,16000000,850,Dattapada
645,20000000,1250,Magathane
646,19100000,1100,Rajendra Nagar
647,12000000,560,Kandivali East
648,12000000,1000,kolshet
649,28000000,1580,Hiranandani Meadows
650,21500000,1345,Hiranandani Meadows
651,2170000,505,Badlapur
652,19500000,1225,Kalpataru
653,9000000,1026,kolshet
654,3500000,900,Thane
655,9500000,852,Kharghar
656,13000000,1157,Thane West
657,16000000,874,Malad West
658,35000000,969,Khar
659,34800000,950,Khar
660,7900000,1115,taloja panchanand
661,4700000,690,taloja panchanand
662,3800000,422,Petali
663,9800000,936,kolshet
664,5900000,576,kolshet
665,11299999,600,Borivali East
666,15500000,907,Borivali East
667,8725000,1175,Kamothe
668,13200000,1525,Kharghar Sector 34C
669,6800000,543,Bhandup West
670,31000000,1267,Wadala
671,40000000,1735,Wadala
672,58500000,3410,Ghatkopar East
673,40199999,1850,Malad West
674,5000000,702,Mumbai Agra National Highway
675,6500000,566,Dahisar
676,21500000,1310,Malad West
677,6400000,506,vasant vihar thane west
678,6400000,509,Thane West
679,7000000,950,Kalyan West
680,2350000,685,Shirgaon
681,29500000,2415,Kandivali East
682,10500000,900,Pokhran 2
683,11000000,1440,Sector 20 Kharghar
684,2800000,650,Virar
685,8000000,820,Mira Road East
686,2600000,590,Nala Sopara
687,6000000,650,Mira Road East
688,4800000,700,Mira Road East
689,17500000,1600,Kharghar
690,10000000,1140,Kharghar
691,16500000,1502,Kharghar
692,4800000,650,Kharghar
693,14000000,1600,Kharghar
694,10000000,1325,Kharghar
695,12500000,1725,Kharghar
696,13500000,1256,Kharghar
697,16500000,1600,Kharghar
698,21000000,2030,Kharghar
699,16000000,1680,Kharghar
